region,Year,cdd
Rhode Island,2046,3017.827213580217
Rhode Island,2047,3361.531413853261
Rhode Island,2048,3240.0759732584447
Rhode Island,2049,3386.056856236385
Rhode Island,2050,3038.2065579949094
Rhode Island,2051,3024.008686154292
Rhode Island,2052,2753.131558435926
Rhode Island,2053,3223.1810011111547
Rhode Island,2054,3282.0713938870404
Rhode Island,2055,3265.728608344305
Rhode Island,2056,2996.074941676168
Rhode Island,2057,2991.7923315545954
Rhode Island,2058,3139.055167770267
Rhode Island,2059,3201.7023427894264
Rhode Island,2060,3110.375779465053
Rhode Island,2061,2993.8241144299677
Rhode Island,2062,3022.8200945345416
Rhode Island,2063,2850.439395201336
Rhode Island,2064,2834.6923864966107
Rhode Island,2065,2867.081805491488
Rhode Island,2066,2882.1594961632613
Rhode Island,2067,2953.475231379049
Rhode Island,2068,2935.372166482622
Rhode Island,2069,3002.589244594579
Rhode Island,2070,2493.473819895265
Rhode Island,2071,2545.180331830726
Rhode Island,2072,2950.3064534853647
Rhode Island,2073,2899.9774715426893
Rhode Island,2074,2879.512396419925
Rhode Island,2075,2784.113947088586
Rhode Island,2076,2911.285691966168
Rhode Island,2077,2869.239166306761
Rhode Island,2078,2386.4509849154133
Rhode Island,2079,2534.117394199048
Rhode Island,2080,2866.152404545573
Rhode Island,2081,2617.7007316541763
Rhode Island,2082,2627.6210948481275
Rhode Island,2083,3047.6677513667432
Rhode Island,2084,2909.36766533538
Rhode Island,2085,2918.6177155958703
Rhode Island,2086,2436.1647521313885
Rhode Island,2087,2840.7259720155
Rhode Island,2088,2701.062177903331
Rhode Island,2089,2815.5479269568004
Rhode Island,2090,2527.4173343315497
Rhode Island,2091,2538.6606646627883
Rhode Island,2092,2289.1033164426813
Rhode Island,2093,2713.342127660569
Rhode Island,2094,2777.47590007348
Rhode Island,2095,2793.161137826585
Rhode Island,2096,2513.3303524174203
Rhode Island,2097,2498.361720861554
Rhode Island,2098,2649.7313972067263
Rhode Island,2099,2662.244599633154
p42,2020,5569.576765087818
p42,2021,4879.065871029476
p42,2022,5765.951181548971
p42,2023,5213.29961071238
p42,2024,5226.296719628915
p42,2025,5832.734890243695
p42,2026,5253.659050189137
p42,2027,4396.825819668995
p42,2028,5513.330377239775
p42,2029,5807.267584652415
p42,2030,5083.525390500073
p42,2031,5282.783418568279
p42,2032,5060.060997483495
p42,2033,5586.7905215440005
p42,2034,5216.870783882573
p42,2035,5460.694454254249
p42,2036,6127.377846869151
p42,2037,5423.9765331595445
p42,2038,4398.568181726439
p42,2039,4730.339832754269
p42,2040,5048.108049445001
p42,2041,5007.002196909749
p42,2042,5283.282408001972
p42,2043,5261.824463002632
p42,2044,5163.028859629981
p42,2045,4846.9710889778535
p42,2046,4632.759984970572
p42,2047,4995.91725448632
p42,2048,5664.135494842915
p42,2049,5409.556314785582
p42,2050,4737.930090036924
p42,2051,5037.834556440334
p42,2052,4396.613001196448
p42,2053,5655.2762324222
p42,2054,5714.829441284561
p42,2055,4561.831534072298
p42,2056,4424.082542929875
p42,2057,4842.870850595847
p42,2058,5370.529964641588
p42,2059,5561.8601133712855
p42,2060,4853.582829517945
p42,2061,4104.291220567224
p42,2062,5042.137692082057
p42,2063,4487.988634159688
p42,2064,4448.658906642497
p42,2065,5124.617279453887
p42,2066,4579.889921316988
